"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1. Floresta","48690.92718241393","48707.9714325483","50235.22533045244","50424.81233572007","50911.84412118872","51043.50702682847","51335.530501542235","51406.620904118485","50255.62988508586","49498.0254759305","48649.281314383195","48220.97212134198","48131.12192426547","47762.57896310887","47983.51043413565","48317.001779404934","48164.958426066005","48151.953338302956","47742.01275807888","46847.471997099856","47132.54859454356","46848.236100242786","46511.21920510113","45754.56540532129","45272.098863126834","44862.37047071146","43737.91989136545","42293.61640656524","41459.81791658155","40840.597958885744","40093.523501145035","39764.818348380024","39853.732323044474","40013.749004252044","40055.356851767916","39988.99406588533","40056.49792658474"
"1.1. Formação Florestal","134.73199840698214","134.73199840698214","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.56229658203097","130.56229658203097","130.38485263061497","130.38485263061497","130.38485263061497","130.2961489990232","130.207445422363","130.207445422363","130.207445422363","130.207445422363","130.207445422363","130.2961489990232","130.2961489990232","130.2961489990232","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.47356382446262","130.47356382446262","130.38485263061497"
"1.2. Formação Savânica","48556.195184006945","48573.23943414132","50104.840477821825","50294.42748308945","50781.4592685581","50913.12217419785","51205.14564891162","51276.23605148787","50125.24503245524","49367.640623299885","48518.89646175258","48090.587268711366","48000.73707163485","47632.01666652684","47852.94813755362","48186.61692677432","48034.57357343539","48021.56848567234","47611.71660907986","46717.264551677494","47002.341149121195","46718.028654820424","46381.01175967877","45624.35795989893","45141.80271412781","44732.07432171243","43607.62374236642","42163.231553934624","41329.433063950935","40710.21310625513","39963.13864851442","39634.43349574941","39723.34747041386","39883.36415162143","39924.883287943456","39858.52050206087","39926.113073954126"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Restinga Arborizada (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","362.66393685913073","360.5348014221191","268.79981222534167","274.47797411499016","263.92119713134764","258.8644282470702","247.50835162353502","242.2737606750487","243.78164927978503","241.91858739013662","244.75729796752915","254.95950123290996","255.5805767211913","271.54969142456025","280.68755201415996","280.68757205810516","296.5673906127928","290.357645196533","297.0103584228514","298.0746256103515","301.00195846557625","302.4207203491212","306.76770460205086","297.00979084472647","293.9057999999999","292.66431020507804","315.46500908203126","362.7481109802244","494.84618971557734","675.7267884216329","826.08956152344","799.9167932922375","786.3399257690432","595.875484417727","586.6496934021015","581.6820837341324","586.5610895446796"
"2.1. Campo Alagado e Área Pantanosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2. Formação Campestre","362.66393685913073","360.5348014221191","268.79981222534167","274.47797411499016","263.92119713134764","258.8644282470702","247.50835162353502","242.2737606750487","243.78164927978503","241.91858739013662","244.75729796752915","254.95950123290996","255.5805767211913","271.54969142456025","280.68755201415996","280.68757205810516","296.5673906127928","290.357645196533","297.0103584228514","298.0746256103515","301.00195846557625","302.4207203491212","306.76770460205086","297.00979084472647","293.9057999999999","292.66431020507804","315.46500908203126","362.7481109802244","494.84618971557734","675.7267884216329","826.08956152344","799.9167932922375","786.3399257690432","595.875484417727","586.6496934021015","581.6820837341324","586.5610895446796"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea/Arbustiva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","5431.403753655995","5487.203948583952","4237.285593853758","4170.046502313225","3813.698381597882","3848.300833428935","4032.104716534437","4148.129165582277","5500.43746652824","6150.8697167540895","6679.586174334709","7123.332650732359","7210.521789752134","8112.383567034802","8044.779150323373","7744.287032965015","7876.903145770191","7355.526570580982","7846.738731597836","7521.152174499452","7555.304413171294","7837.576963531432","8170.245101159602","8708.192040588348","9415.659457220368","10100.870008032156","11476.228379901178","13255.821356414639","14986.130504461576","15649.218578814496","16468.370184924188","16859.184235625897","16772.670982006675","16682.294197924664","16664.284842260582","15928.985258776713","15989.954788128722"
"3.1. Pastagem","1742.2316151916764","1549.0131849975785","1633.5493580810703","1780.81899325563","1434.4166318664677","1483.1310116516217","1888.8155751709335","2561.6873714843573","3374.969718109065","3924.8811441588887","3949.6177018432404","4014.384172631796","3773.376484216279","4673.189812750173","5280.350839300453","5537.779606518474","4950.962005071942","4143.839848315379","3870.584861120551","3696.3308742065374","3463.8262287841267","3578.2351936339905","3980.4380429015773","4223.94913177488","4346.280990417434","5825.972860003602","8041.585089025928","10449.439166815062","12154.223443359306","13479.649499175825","13527.356368078523","13472.035408184556","13024.982948467914","12325.770194177156","11946.825504699613","11497.935583483795","9713.517832373223"
"3.2. Agricultura","","","","","","","","","","","","","","","","","","","","","","","0.6209761596679688","0.6209761596679688","","0.6208640075683592","2.7496552429199217","2.128791235351563","1.330617578125","1.330617578125","5.588474377441405","10.556235937500002","17.12109475097656","16.05714571533203","13.12974586791992","12.774829962158202","12.774829962158202"
"3.2.1. Lavoura Temporária","","","","","","","","","","","","","","","","","","","","","","","0.6209761596679688","0.6209761596679688","","0.6208640075683592","2.7496552429199217","2.128791235351563","1.330617578125","1.330617578125","5.588474377441405","10.556235937500002","17.12109475097656","16.05714571533203","13.12974586791992","12.774829962158202","12.774829962158202"
"3.2.1.1. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.2. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.3. Arroz (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
